,date,weekday,day_x,hour,time,month,rides,holiday,datetime,year,is_holiday,is_weekend
214,2019-01-11,Friday,11,21,21:00:00,1,293,no festivo,2019-01-11 21:00:00,2019,0,0
215,2019-01-11,Friday,11,22,22:00:00,1,202,no festivo,2019-01-11 22:00:00,2019,0,0
216,2019-01-11,Friday,11,23,23:00:00,1,289,no festivo,2019-01-11 23:00:00,2019,0,0
217,2019-01-12,Saturday,12,0,00:00:00,1,257,no festivo,2019-01-12 00:00:00,2019,0,1
218,2019-01-12,Saturday,12,1,01:00:00,1,217,no festivo,2019-01-12 01:00:00,2019,0,1
219,2019-01-12,Saturday,12,2,02:00:00,1,169,no festivo,2019-01-12 02:00:00,2019,0,1
220,2019-01-12,Saturday,12,3,03:00:00,1,121,no festivo,2019-01-12 03:00:00,2019,0,1
221,2019-01-12,Saturday,12,4,04:00:00,1,90,no festivo,2019-01-12 04:00:00,2019,0,1
222,2019-01-12,Saturday,12,5,05:00:00,1,63,no festivo,2019-01-12 05:00:00,2019,0,1
223,2019-01-12,Saturday,12,6,06:00:00,1,40,no festivo,2019-01-12 06:00:00,2019,0,1
224,2019-01-12,Saturday,12,7,07:00:00,1,88,no festivo,2019-01-12 07:00:00,2019,0,1
225,2019-01-12,Saturday,12,8,08:00:00,1,221,no festivo,2019-01-12 08:00:00,2019,0,1
226,2019-01-12,Saturday,12,9,09:00:00,1,267,no festivo,2019-01-12 09:00:00,2019,0,1
227,2019-01-12,Saturday,12,10,10:00:00,1,334,no festivo,2019-01-12 10:00:00,2019,0,1
228,2019-01-12,Saturday,12,11,11:00:00,1,373,no festivo,2019-01-12 11:00:00,2019,0,1
229,2019-01-12,Saturday,12,12,12:00:00,1,490,no festivo,2019-01-12 12:00:00,2019,0,1
230,2019-01-12,Saturday,12,13,13:00:00,1,524,no festivo,2019-01-12 13:00:00,2019,0,1
231,2019-01-12,Saturday,12,14,14:00:00,1,397,no festivo,2019-01-12 14:00:00,2019,0,1
232,2019-01-12,Saturday,12,15,15:00:00,1,425,no festivo,2019-01-12 15:00:00,2019,0,1
233,2019-01-12,Saturday,12,16,16:00:00,1,456,no festivo,2019-01-12 16:00:00,2019,0,1
234,2019-01-12,Saturday,12,17,17:00:00,1,456,no festivo,2019-01-12 17:00:00,2019,0,1
235,2019-01-12,Saturday,12,18,18:00:00,1,442,no festivo,2019-01-12 18:00:00,2019,0,1
236,2019-01-12,Saturday,12,19,19:00:00,1,445,no festivo,2019-01-12 19:00:00,2019,0,1
237,2019-01-12,Saturday,12,20,20:00:00,1,400,no festivo,2019-01-12 20:00:00,2019,0,1
238,2019-01-12,Saturday,12,21,21:00:00,1,295,no festivo,2019-01-12 21:00:00,2019,0,1
239,2019-01-12,Saturday,12,22,22:00:00,1,195,no festivo,2019-01-12 22:00:00,2019,0,1
240,2019-01-12,Saturday,12,23,23:00:00,1,263,no festivo,2019-01-12 23:00:00,2019,0,1
241,2019-01-13,Sunday,13,0,00:00:00,1,274,no festivo,2019-01-13 00:00:00,2019,0,1
242,2019-01-13,Sunday,13,1,01:00:00,1,211,no festivo,2019-01-13 01:00:00,2019,0,1
243,2019-01-13,Sunday,13,2,02:00:00,1,163,no festivo,2019-01-13 02:00:00,2019,0,1
244,2019-01-13,Sunday,13,3,03:00:00,1,118,no festivo,2019-01-13 03:00:00,2019,0,1
245,2019-01-13,Sunday,13,4,04:00:00,1,101,no festivo,2019-01-13 04:00:00,2019,0,1
246,2019-01-13,Sunday,13,5,05:00:00,1,75,no festivo,2019-01-13 05:00:00,2019,0,1
247,2019-01-13,Sunday,13,6,06:00:00,1,37,no festivo,2019-01-13 06:00:00,2019,0,1
248,2019-01-13,Sunday,13,7,07:00:00,1,48,no festivo,2019-01-13 07:00:00,2019,0,1
249,2019-01-13,Sunday,13,8,08:00:00,1,109,no festivo,2019-01-13 08:00:00,2019,0,1
250,2019-01-13,Sunday,13,9,09:00:00,1,173,no festivo,2019-01-13 09:00:00,2019,0,1
251,2019-01-13,Sunday,13,10,10:00:00,1,276,no festivo,2019-01-13 10:00:00,2019,0,1
252,2019-01-13,Sunday,13,11,11:00:00,1,335,no festivo,2019-01-13 11:00:00,2019,0,1
253,2019-01-13,Sunday,13,12,12:00:00,1,468,no festivo,2019-01-13 12:00:00,2019,0,1
254,2019-01-13,Sunday,13,13,13:00:00,1,479,no festivo,2019-01-13 13:00:00,2019,0,1
255,2019-01-13,Sunday,13,14,14:00:00,1,374,no festivo,2019-01-13 14:00:00,2019,0,1
256,2019-01-13,Sunday,13,15,15:00:00,1,363,no festivo,2019-01-13 15:00:00,2019,0,1
257,2019-01-13,Sunday,13,16,16:00:00,1,483,no festivo,2019-01-13 16:00:00,2019,0,1
